sentence,time_dif,cnt
"- говорю, я уже не могу убираться, детки, дак вы уже, говорю, на крыльце постойте, не пустила их сюда.",6.326000000000022,4
- Да на что? - Надо ей.,4.7280000000000015,1
"- Дай коробку, баба Клава сказала ты каб коробку.",4.7280000000000015,1
"'Иди мне принеси' значит 'я иди замуж', вот.",4.163999999999987,1
"'коли', 'было', 'ёсь', 'нема'.",2.490000000000009,3
"'яйка, млеко', пожрать надо было.",2.809999999999974,0
"[[нрзб] всё это попорезали, ягоднику нема]",7.057999999999993,1
"[А вот если дом загорелся, что делали раньше?]",3.569999999999993,1
"[а гостим], ну это сейчас, а тогда ж.",2.784999999999968,1
[А как (як) попадётся эти...],1.5449999999999875,3
[А так развязаны дак.],1.9189999999999827,0
"[а то век будет, этот (этый), привязанный.]",3.286000000000058,2
"[А тогда (тады) же кресты дужа, так кто по=...]",4.774000000000001,3
[А эти (этые) двух сраз/],1.6840000000000828,2
[А?],0.3809999999998581,0
"[В Рудне, копали, вот, два штуки.]",3.018000000000029,1
"[В сторонку поставили, и рядом,]",2.5529999999999973,1
[Вот тогда (тъда) это.],1.23599999999999,2
"[Все ноги и руки, завязаны.]",2.617999999999938,0
"[Всё однак, всё однак] съел.",4.026000000000067,0
"[Вы знаете, еще не общалась, я только ещё со Смоленска вчера приехала.]",3.30600000000004,1
"[Да если] он на свободу попросится то он наверно не станет, а нам уже, бог её знает.",4.685000000000002,3
[Да из кухни.],5.589,1
[Да.],1,0
"[Дак] уже (ужо) ж шестнадцать годов, как (як) помер старик.",3.544999999999959,5
"[Двор], бечь не по улице.",2.1680000000000064,2
[дитёнков.],0.9549999999999272,0
[Еду всю это оставляют.],1.6479999999999109,0
[есть тут] не очень далеко Клюкино.,2.520000000000003,2
[Ещё на ночь].,2.789000000000101,0
[Зашумел хорошо.],1.356999999999971,0
[Здравствуйте!],1.342999999999989,0
[Здрасьте!],0.7960000000000491,0
"[знаете, и-и-и-и-и]",1.54200000000003,0
"[Значит, вижу такой], вы же знаете, что они не держат такое хозяйство?",3.3250000000000455,2
[и [нрзб] теперь его.],4.542000000000002,1
[и всё.],0.6050000000000182,0
"[И вырыли эти, двух этих,]",2.6030000000000655,1
[и просить ни= ни= никто.],1.933999999999969,1
"[и усор= вот эти (этые), а дальше [нрзб]]",4.086000000000013,2
"[и, и помер.]",1.094000000000051,0
"[И, может быть, дальше и эти (этыи) и...]",2.4220000000000255,2
[и],0.5410000000000537,0
[Как будто.],0.7179999999999609,1
[Кидают.],1.0889999999999418,0
"[Когда приех= пришли эти все, поглядели тогда (тъда) и зарывали.]",6,3
[конторе],0.6340000000000146,0
[Лапку эту.],0.9099999999999682,0
"[Лежат, один гроб и другой гроб.]",3.050000000000068,0
"[Мама говорю, бля].",1.8719999999999573,1
[мёртвого этого.],1.1310000000000855,0
[Мёртвого этого.],1.3059999999999263,0
"[Минуты пять, шесть, вот.]",2.34800000000007,0
[Мла= самый младший мой брат.,2.3380000000000223,0
[можно.],0.58299999999997,0
[Мужчина один.],1.1100000000000136,0
"[мы быстрее, ямку выкопают]",2.5,0
[мы соаё знает.],1.6299999999999957,0
"[Не, не зарывали их.]",1.88900000000001,2
[нрзб.],1.1869999999999976,0
[Нрзб.] а все семьи раньше были раньше.,3.1200000000000045,0
[Нрзб.] конопли эти (этые).,3.1280000000000427,2
[Нрзб.] не могу разговаривать.,3.9470000000000023,1
[нрзб],0.5400000000000205,0
[нрзб],0.5600000000000023,0
[нрзб],0.6700000000000728,0
[нрзб],0.7139999999999986,0
[нрзб],0.7620000000000005,0
[нрзб],0.7679999999999723,0
[нрзб],0.7799999999999727,0
[нрзб],0.7899999999999636,0
[нрзб],0.7899999999999991,0
[нрзб],0.8230000000000928,0
[нрзб],0.8300000000000409,0
[нрзб],0.8830000000000382,0
